sample_no,project_code,material_code,test_item,submitted_on,completed_on,result,cost,currency,turnaround_days
AST-00100,Project B,Ceramic-C,Humidity Exposure,2026-04-17,2026-04-21,PASS,126.51,USD,4
AST-00101,Project H,Polymer-A,Tensile Strength,2026-07-28,2026-08-07,PASS,89.21,USD,10
AST-00102,Project C,Copper-M,Chemical Compatibility,2026-04-29,2026-05-09,PASS,113.44,USD,10
AST-00103,Project J,Alloy-X,Salt Spray,2026-07-25,2026-07-30,PASS,107.73,USD,5
AST-00104,Project H,Copper-M,Chemical Compatibility,2026-07-16,2026-07-25,PASS,121.28,USD,9
AST-00105,Project I,Alloy-X,Tensile Strength,2026-06-27,2026-07-01,PASS,94.16,USD,4
AST-00106,Project H,Polymer-A,Tensile Strength,2026-05-18,2026-05-23,PASS,123.28,USD,5
AST-00107,Project C,Polymer-A,Tensile Strength,2026-05-07,2026-05-13,PASS,95.69,USD,6
AST-00108,Project J,Composite-Z,Humidity Exposure,2026-04-23,2026-05-02,PASS,107.42,USD,9
AST-00109,Project G,Alloy-X,Chemical Compatibility,2026-06-30,2026-07-08,PASS,120.82,USD,8
AST-00110,Project C,Composite-Z,Humidity Exposure,2026-05-11,2026-05-18,PASS,96.72,USD,7
AST-00111,Project A,Composite-Z,Salt Spray,2026-03-20,2026-03-30,PASS,120.50,USD,10
AST-00112,Project D,Copper-M,Humidity Exposure,2026-03-08,2026-03-15,PASS,121.33,USD,7
AST-00113,Project I,Alloy-X,Impact Resistance,2026-05-05,2026-05-10,PASS,89.96,USD,5
AST-00114,Project A,Ceramic-C,Impact Resistance,2026-07-04,2026-07-08,PASS,84.88,USD,4
AST-00115,Project B,Alloy-X,Tensile Strength,2026-02-20,2026-02-25,FAIL,103.18,USD,5
AST-00116,Project I,Polymer-A,Humidity Exposure,2026-06-24,2026-07-03,PASS,84.48,USD,9
AST-00117,Project G,Copper-M,Humidity Exposure,2026-05-25,2026-06-02,PASS,115.55,USD,8
AST-00118,Project H,Alloy-X,Thermal Cycling,2026-07-31,2026-08-04,PASS,115.86,USD,4
AST-00119,Project J,Polymer-A,Tensile Strength,2026-02-24,2026-03-01,PASS,106.89,USD,5
AST-00120,Project D,Copper-M,Chemical Compatibility,2026-07-06,2026-07-11,PASS,88.69,USD,5
AST-00121,Project G,Polymer-A,Thermal Cycling,2026-06-18,2026-06-24,PASS,103.80,USD,6
AST-00122,Project D,Polymer-A,Humidity Exposure,2026-05-09,2026-05-19,PASS,84.04,USD,10
AST-00123,Project G,Composite-Z,Salt Spray,2026-07-08,2026-07-17,PASS,119.66,USD,9
AST-00124,Project D,Alloy-X,Humidity Exposure,2026-07-27,2026-08-04,PASS,119.55,USD,8
AST-00125,Project B,Ceramic-C,Chemical Compatibility,2026-04-19,2026-04-27,PASS,127.87,USD,8
AST-00126,Project F,Polymer-A,Salt Spray,2026-05-20,2026-05-29,PASS,100.19,USD,9
AST-00127,Project I,Polymer-A,Humidity Exposure,2026-03-25,2026-04-03,PASS,105.03,USD,9
AST-00128,Project J,Alloy-X,Chemical Compatibility,2026-03-22,2026-03-30,PASS,89.22,USD,8
AST-00129,Project F,Ceramic-C,Tensile Strength,2026-02-01,2026-02-10,PASS,103.31,USD,9
AST-00130,Project D,Alloy-X,Impact Resistance,2026-04-22,2026-04-26,PASS,111.06,USD,4
AST-00131,Project G,Polymer-A,Salt Spray,2026-04-18,2026-04-25,PASS,105.22,USD,7
AST-00132,Project H,Polymer-A,Salt Spray,2026-02-21,2026-02-26,PASS,92.33,USD,5
AST-00133,Project D,Composite-Z,Thermal Cycling,2026-03-02,2026-03-12,FAIL,116.77,USD,10
AST-00134,Project I,Polymer-A,Salt Spray,2026-05-02,2026-05-10,PASS,115.86,USD,8
AST-00135,Project G,Copper-M,Salt Spray,2026-07-05,2026-07-14,PASS,104.89,USD,9
AST-00136,Project H,Alloy-X,Impact Resistance,2026-04-21,2026-04-29,FAIL,106.48,USD,8
AST-00137,Project C,Copper-M,Tensile Strength,2026-05-21,2026-05-29,PASS,87.11,USD,8
AST-00138,Project H,Ceramic-C,Tensile Strength,2026-05-21,2026-05-27,PASS,118.27,USD,6
AST-00139,Project B,Ceramic-C,Impact Resistance,2026-05-20,2026-05-30,PASS,121.99,USD,10
AST-00140,Project C,Alloy-X,Thermal Cycling,2026-06-27,2026-07-07,PASS,84.95,USD,10
AST-00141,Project H,Alloy-X,Chemical Compatibility,2026-03-27,2026-04-04,PASS,89.36,USD,8
AST-00142,Project I,Composite-Z,Humidity Exposure,2026-06-01,2026-06-05,FAIL,107.60,USD,4
AST-00143,Project D,Copper-M,Salt Spray,2026-02-07,2026-02-16,PASS,123.84,USD,9
AST-00144,Project E,Polymer-A,Salt Spray,2026-03-21,2026-03-25,PASS,125.11,USD,4
AST-00145,Project I,Copper-M,Humidity Exposure,2026-04-27,2026-05-06,PASS,86.76,USD,9
AST-00146,Project H,Copper-M,Thermal Cycling,2026-07-10,2026-07-16,PASS,109.57,USD,6
AST-00147,Project B,Copper-M,Thermal Cycling,2026-07-24,2026-08-02,FAIL,125.02,USD,9
AST-00148,Project J,Ceramic-C,Thermal Cycling,2026-04-11,2026-04-15,PASS,98.25,USD,4
AST-00149,Project H,Alloy-X,Tensile Strength,2026-02-05,2026-02-13,PASS,115.24,USD,8
AST-00150,Project G,Ceramic-C,Tensile Strength,2026-02-23,2026-03-03,PASS,94.25,USD,8
AST-00151,Project A,Composite-Z,Humidity Exposure,2026-07-14,2026-07-23,FAIL,86.95,USD,9
AST-00152,Project G,Composite-Z,Tensile Strength,2026-03-21,2026-03-31,FAIL,118.09,USD,10
AST-00153,Project J,Polymer-A,Chemical Compatibility,2026-03-21,2026-03-25,PASS,127.55,USD,4
AST-00154,Project F,Polymer-A,Humidity Exposure,2026-04-07,2026-04-17,FAIL,111.89,USD,10
AST-00155,Project G,Copper-M,Salt Spray,2026-03-31,2026-04-08,PASS,86.00,USD,8
AST-00156,Project J,Ceramic-C,Salt Spray,2026-04-13,2026-04-21,FAIL,111.92,USD,8
AST-00157,Project G,Polymer-A,Impact Resistance,2026-07-25,2026-08-04,PASS,123.58,USD,10
AST-00158,Project I,Alloy-X,Salt Spray,2026-07-31,2026-08-07,PASS,113.98,USD,7
AST-00159,Project F,Ceramic-C,Chemical Compatibility,2026-03-13,2026-03-18,PASS,127.98,USD,5
AST-00160,Project D,Composite-Z,Impact Resistance,2026-04-20,2026-04-26,PASS,113.61,USD,6
AST-00161,Project H,Copper-M,Salt Spray,2026-03-09,2026-03-13,PASS,103.89,USD,4
AST-00162,Project I,Ceramic-C,Salt Spray,2026-05-18,2026-05-28,PASS,116.29,USD,10
AST-00163,Project G,Alloy-X,Impact Resistance,2026-04-12,2026-04-19,PASS,97.65,USD,7
AST-00164,Project G,Ceramic-C,Thermal Cycling,2026-05-05,2026-05-12,PASS,92.25,USD,7
AST-00165,Project A,Copper-M,Thermal Cycling,2026-05-07,2026-05-11,FAIL,99.00,USD,4
AST-00166,Project E,Composite-Z,Tensile Strength,2026-04-12,2026-04-18,PASS,95.32,USD,6
AST-00167,Project D,Polymer-A,Salt Spray,2026-03-30,2026-04-08,PASS,123.25,USD,9
AST-00168,Project D,Copper-M,Salt Spray,2026-05-12,2026-05-22,PASS,121.83,USD,10
AST-00169,Project J,Ceramic-C,Thermal Cycling,2026-04-09,2026-04-17,FAIL,97.60,USD,8
AST-00170,Project F,Copper-M,Impact Resistance,2026-05-11,2026-05-18,PASS,120.84,USD,7
AST-00171,Project E,Polymer-A,Thermal Cycling,2026-04-12,2026-04-18,PASS,106.83,USD,6
AST-00172,Project J,Copper-M,Impact Resistance,2026-06-03,2026-06-10,PASS,123.73,USD,7
AST-00173,Project J,Composite-Z,Chemical Compatibility,2026-06-17,2026-06-27,PASS,104.13,USD,10
AST-00174,Project C,Composite-Z,Impact Resistance,2026-02-07,2026-02-16,PASS,93.93,USD,9
AST-00175,Project D,Copper-M,Impact Resistance,2026-02-08,2026-02-14,PASS,86.08,USD,6
AST-00176,Project C,Ceramic-C,Tensile Strength,2026-06-14,2026-06-24,PASS,97.29,USD,10
AST-00177,Project B,Composite-Z,Tensile Strength,2026-05-31,2026-06-04,PASS,126.86,USD,4
AST-00178,Project A,Composite-Z,Tensile Strength,2026-05-06,2026-05-13,PASS,99.27,USD,7
AST-00179,Project G,Polymer-A,Tensile Strength,2026-07-03,2026-07-12,PASS,112.56,USD,9
AST-00180,Project D,Ceramic-C,Chemical Compatibility,2026-05-10,2026-05-14,PASS,92.39,USD,4
AST-00181,Project G,Polymer-A,Impact Resistance,2026-06-19,2026-06-24,PASS,85.00,USD,5
AST-00182,Project J,Polymer-A,Tensile Strength,2026-07-02,2026-07-11,PASS,103.07,USD,9
AST-00183,Project D,Alloy-X,Chemical Compatibility,2026-06-25,2026-07-04,PASS,102.17,USD,9
AST-00184,Project I,Copper-M,Thermal Cycling,2026-03-28,2026-04-02,PASS,113.13,USD,5
AST-00185,Project E,Polymer-A,Salt Spray,2026-03-11,2026-03-17,PASS,117.95,USD,6
AST-00186,Project J,Ceramic-C,Chemical Compatibility,2026-06-14,2026-06-21,PASS,115.33,USD,7
AST-00187,Project G,Composite-Z,Tensile Strength,2026-03-31,2026-04-09,PASS,124.59,USD,9
AST-00188,Project A,Copper-M,Tensile Strength,2026-03-29,2026-04-04,PASS,108.81,USD,6
AST-00189,Project G,Copper-M,Impact Resistance,2026-06-17,2026-06-24,PASS,119.14,USD,7
AST-00190,Project J,Copper-M,Salt Spray,2026-02-20,2026-02-26,PASS,97.89,USD,6
AST-00191,Project A,Copper-M,Tensile Strength,2026-05-20,2026-05-25,PASS,113.58,USD,5
AST-00192,Project C,Alloy-X,Chemical Compatibility,2026-02-01,2026-02-06,PASS,87.01,USD,5
AST-00193,Project I,Polymer-A,Impact Resistance,2026-04-21,2026-04-28,PASS,99.71,USD,7
AST-00194,Project D,Alloy-X,Salt Spray,2026-06-26,2026-07-01,PASS,98.95,USD,5
AST-00195,Project H,Ceramic-C,Tensile Strength,2026-04-03,2026-04-07,PASS,102.86,USD,4
AST-00196,Project B,Copper-M,Humidity Exposure,2026-06-26,2026-06-30,PASS,87.03,USD,4
AST-00197,Project F,Composite-Z,Humidity Exposure,2026-05-12,2026-05-17,PASS,94.38,USD,5
AST-00198,Project D,Polymer-A,Humidity Exposure,2026-06-15,2026-06-25,PASS,93.45,USD,10
AST-00199,Project G,Polymer-A,Tensile Strength,2026-03-09,2026-03-14,PASS,123.54,USD,5
AST-00200,Project B,Alloy-X,Tensile Strength,2026-04-29,2026-05-08,PASS,114.80,USD,9
AST-00201,Project G,Composite-Z,Tensile Strength,2026-05-29,2026-06-03,PASS,92.77,USD,5
AST-00202,Project E,Alloy-X,Chemical Compatibility,2026-02-05,2026-02-12,FAIL,120.10,USD,7
AST-00203,Project H,Alloy-X,Impact Resistance,2026-03-18,2026-03-25,PASS,97.66,USD,7
AST-00204,Project I,Alloy-X,Thermal Cycling,2026-07-07,2026-07-16,PASS,107.04,USD,9
AST-00205,Project D,Polymer-A,Thermal Cycling,2026-06-17,2026-06-27,PASS,94.53,USD,10
AST-00206,Project B,Composite-Z,Humidity Exposure,2026-02-21,2026-03-03,PASS,84.41,USD,10
AST-00207,Project G,Copper-M,Salt Spray,2026-04-02,2026-04-10,PASS,117.99,USD,8
AST-00208,Project H,Alloy-X,Tensile Strength,2026-02-25,2026-03-06,PASS,92.08,USD,9
AST-00209,Project D,Polymer-A,Impact Resistance,2026-03-03,2026-03-13,PASS,89.55,USD,10
AST-00210,Project H,Alloy-X,Salt Spray,2026-04-20,2026-04-24,PASS,104.43,USD,4
AST-00211,Project A,Composite-Z,Chemical Compatibility,2026-03-15,2026-03-25,PASS,106.54,USD,10
AST-00212,Project J,Ceramic-C,Salt Spray,2026-02-22,2026-02-28,PASS,109.13,USD,6
AST-00213,Project F,Polymer-A,Salt Spray,2026-04-12,2026-04-18,PASS,127.67,USD,6
AST-00214,Project G,Copper-M,Impact Resistance,2026-06-28,2026-07-02,PASS,86.64,USD,4
AST-00215,Project H,Copper-M,Salt Spray,2026-07-19,2026-07-24,PASS,99.88,USD,5
AST-00216,Project D,Composite-Z,Tensile Strength,2026-03-12,2026-03-22,PASS,119.26,USD,10
AST-00217,Project B,Copper-M,Tensile Strength,2026-02-15,2026-02-22,PASS,124.97,USD,7
AST-00218,Project H,Ceramic-C,Salt Spray,2026-06-13,2026-06-21,PASS,90.67,USD,8
AST-00219,Project H,Polymer-A,Chemical Compatibility,2026-04-05,2026-04-14,PASS,87.95,USD,9
AST-00220,Project G,Composite-Z,Salt Spray,2026-07-26,2026-08-03,PASS,107.97,USD,8
AST-00221,Project C,Alloy-X,Thermal Cycling,2026-03-05,2026-03-11,PASS,121.27,USD,6
AST-00222,Project I,Ceramic-C,Tensile Strength,2026-03-13,2026-03-20,PASS,104.36,USD,7
AST-00223,Project A,Alloy-X,Humidity Exposure,2026-04-28,2026-05-08,PASS,104.17,USD,10
AST-00224,Project J,Polymer-A,Tensile Strength,2026-03-26,2026-03-30,PASS,106.58,USD,4
AST-00225,Project J,Alloy-X,Thermal Cycling,2026-04-30,2026-05-10,PASS,85.90,USD,10
AST-00226,Project C,Ceramic-C,Salt Spray,2026-07-25,2026-07-30,PASS,105.72,USD,5
AST-00227,Project E,Polymer-A,Salt Spray,2026-05-27,2026-05-31,PASS,87.70,USD,4
AST-00228,Project B,Polymer-A,Humidity Exposure,2026-07-29,2026-08-06,PASS,90.41,USD,8
AST-00229,Project G,Composite-Z,Tensile Strength,2026-04-06,2026-04-16,PASS,96.08,USD,10
AST-00230,Project I,Polymer-A,Impact Resistance,2026-07-06,2026-07-11,PASS,111.28,USD,5
AST-00231,Project G,Ceramic-C,Thermal Cycling,2026-04-12,2026-04-17,PASS,105.66,USD,5
AST-00232,Project H,Alloy-X,Thermal Cycling,2026-07-31,2026-08-04,PASS,118.80,USD,4
AST-00233,Project G,Composite-Z,Chemical Compatibility,2026-04-07,2026-04-11,FAIL,95.42,USD,4
AST-00234,Project D,Composite-Z,Impact Resistance,2026-02-14,2026-02-18,PASS,97.58,USD,4
AST-00235,Project I,Polymer-A,Impact Resistance,2026-03-25,2026-03-29,PASS,126.10,USD,4
AST-00236,Project G,Composite-Z,Salt Spray,2026-05-09,2026-05-17,PASS,125.08,USD,8
AST-00237,Project C,Ceramic-C,Tensile Strength,2026-02-04,2026-02-12,PASS,122.64,USD,8
AST-00238,Project E,Polymer-A,Humidity Exposure,2026-05-12,2026-05-21,PASS,89.22,USD,9
AST-00239,Project C,Alloy-X,Thermal Cycling,2026-04-27,2026-05-01,PASS,127.52,USD,4
AST-00240,Project A,Alloy-X,Salt Spray,2026-02-16,2026-02-20,PASS,95.60,USD,4
AST-00241,Project G,Ceramic-C,Thermal Cycling,2026-07-23,2026-08-02,PASS,107.82,USD,10
AST-00242,Project E,Copper-M,Thermal Cycling,2026-03-10,2026-03-14,PASS,101.96,USD,4
AST-00243,Project D,Alloy-X,Impact Resistance,2026-07-09,2026-07-13,PASS,109.86,USD,4
AST-00244,Project F,Ceramic-C,Salt Spray,2026-06-22,2026-06-28,PASS,111.68,USD,6
AST-00245,Project B,Composite-Z,Thermal Cycling,2026-02-17,2026-02-21,PASS,104.73,USD,4
AST-00246,Project I,Polymer-A,Thermal Cycling,2026-04-26,2026-04-30,PASS,124.72,USD,4
AST-00247,Project H,Polymer-A,Tensile Strength,2026-04-18,2026-04-28,PASS,110.57,USD,10
AST-00248,Project C,Alloy-X,Humidity Exposure,2026-07-02,2026-07-07,PASS,91.84,USD,5
AST-00249,Project D,Polymer-A,Tensile Strength,2026-06-17,2026-06-25,PASS,122.26,USD,8
AST-00250,Project B,Alloy-X,Salt Spray,2026-07-09,2026-07-14,PASS,114.67,USD,5
AST-00251,Project H,Composite-Z,Humidity Exposure,2026-05-29,2026-06-02,PASS,120.79,USD,4
AST-00252,Project D,Ceramic-C,Chemical Compatibility,2026-07-20,2026-07-25,PASS,94.06,USD,5
AST-00253,Project H,Polymer-A,Salt Spray,2026-06-22,2026-06-26,PASS,93.43,USD,4
AST-00254,Project I,Polymer-A,Tensile Strength,2026-07-06,2026-07-12,PASS,123.27,USD,6
AST-00255,Project I,Composite-Z,Tensile Strength,2026-04-18,2026-04-28,PASS,115.30,USD,10
AST-00256,Project A,Composite-Z,Chemical Compatibility,2026-06-13,2026-06-17,PASS,113.45,USD,4
AST-00257,Project C,Ceramic-C,Salt Spray,2026-02-02,2026-02-10,PASS,91.28,USD,8
AST-00258,Project C,Composite-Z,Impact Resistance,2026-07-14,2026-07-24,PASS,109.72,USD,10
AST-00259,Project G,Ceramic-C,Impact Resistance,2026-07-13,2026-07-17,PASS,113.17,USD,4
AST-00260,Project B,Ceramic-C,Thermal Cycling,2026-07-15,2026-07-21,PASS,125.05,USD,6
AST-00261,Project A,Ceramic-C,Impact Resistance,2026-06-06,2026-06-14,PASS,119.94,USD,8
AST-00262,Project C,Ceramic-C,Impact Resistance,2026-06-12,2026-06-17,PASS,109.29,USD,5
AST-00263,Project D,Composite-Z,Salt Spray,2026-06-18,2026-06-23,PASS,108.72,USD,5
AST-00264,Project E,Alloy-X,Thermal Cycling,2026-04-27,2026-05-01,PASS,121.16,USD,4
AST-00265,Project A,Ceramic-C,Salt Spray,2026-07-02,2026-07-08,PASS,96.06,USD,6
